stt,source,category,title,content,link,label
119,Dân Trí,the-thao,"Nhân vật quyền lực bóng đá Malaysia vung tiền, quyết kháng cáo tới cùng","Quyết định này được ông Tunku Ismail công bố trong ngày 6/11 như một động thái thể hiện sự ủng hộ của ông đối với FAM và 7 cầu thủ nhập tịch Malaysia đang chịu án phạt từ FIFA. Ông Tunku Ismail khẳng định: “Tôi sẽ chi trả toàn bộ chi phí kháng cáo, không dùng đến tiền của người dân Malaysia”. Cố vấn cấp cao của đội tuyển Malaysia, Tunku Ismail, khẳng định sẽ chi tiền để FAM kháng cáo tới cùng (",https://dantri.com.vn/the-thao/nhan-vat-quyen-luc-bong-da-malaysia-vung-tien-quyet-khang-cao-toi-cung-20251106105739012.htm,1
120,Dân Trí,the-thao,"Báo Malaysia: “Sự thật đã phơi bày, FAM nói dối quanh co”","Sau khi FIFA ra phán quyết giữ nguyên án phạt với FAM và 7 cầu thủ nhập tịch trái phép vào ngày 3/11, các tờ báo Malaysia không ngừng chỉ trích FAM vì hành vi làm giả giấy tờ có thể khiến hình ảnh nước nhà bị tổn hại nghiêm trọng. Tờ New Straits Times cho rằng FAM đã ""buôn giấy tờ"" để giúp đội tuyển Malaysia tăng cường sức mạnh (",https://dantri.com.vn/the-thao/bao-malaysia-su-that-da-phoi-bay-fam-noi-doi-quanh-co-20251106112759058.htm,1
121,Dân Trí,the-thao,Lịch thi đấu của các đội tuyển bóng đá Việt Nam tại SEA Games,"Theo lịch mới, đội tuyển sẽ thi đấu ở sân Tinsulanon (tỉnh Songkhla, Thái Lan), thay vì thi đấu ở sân 700th Anniversay (Chiang Mai) như lịch cũ. Ngoài ra, thay vì ra quân gặp đội tuyển U22 Lào vào ngày 5/12 như lịch thi đấu dự kiến trước đó, đội bóng của HLV Kim Sang Sik sẽ gặp đội bóng xứ sở triệu voi sớm hơn một ngày, vào ngày 4/12. U22 Việt Nam sẽ thi đấu vòng bảng SEA Games 33 tại Songkhla, thay vì Chaing Mai (",https://dantri.com.vn/the-thao/lich-thi-dau-cua-cac-doi-tuyen-bong-da-viet-nam-tai-sea-games-20251106114313925.htm,1
122,Dân Trí,the-thao,Lamine Yamal tự so sánh bản thân với Lionel Messi,"Đêm qua, Barcelona đã hòa 3-3 với Club Brugge ở lượt trận thứ 4 vòng bảng trên đất Bỉ. Trong đó, Yamal đã ghi bàn thắng tuyệt đẹp. Cầu thủ 18 tuổi phối hợp với Fermin Lopez, trước khi dứt điểm rất tinh tế vào lưới Club Brugge. Yamal ghi bàn thắng tinh tế vào lưới Club Brugge (",https://dantri.com.vn/the-thao/lamine-yamal-tu-so-sanh-ban-than-voi-lionel-messi-20251106142831182.htm,1
123,Dân Trí,the-thao,Bùi Vĩ Hào trở lại cùng U22 Việt Nam chinh phục HCV SEA Games,"Ngày 6/11, HLV Kim Sang Sik công bố danh sách 26 cầu thủ đội tuyển U22 Việt Nam tập trung đợt 4 năm 2025, nhằm chuẩn bị cho giải quốc tế CFA Team China Panda Cup 2025 và hướng tới SEA Games 33, diễn ra tại Thái Lan vào tháng 12 tới. Đúng như dự đoán, có lực lượng mạnh nhất chuẩn bị cho mục tiêu quan trọng nhất trong năm là SEA Games 33. Những cầu thủ như Trần Trung Kiên, Khuất Văn Khang, Nguyễn Đình Bắc... cùng các trụ cột đã góp công lớn trong hành trình vô địch U23 Đông Nam Á 2025 và giành vé dự vòng chung kết U23 châu Á 2026 như Nguyễn Phi Hoàng, Nguyễn Xuân Bắc, Lê Văn Thuận, Nguyễn Thanh Nhàn, Nguyễn Ngọc Mỹ, Phạm Lý Đức… đều có mặt. Vĩ Hào (phải) trở lại sau chấn thương (",https://dantri.com.vn/the-thao/bui-vi-hao-tro-lai-cung-u22-viet-nam-chinh-phuc-hcv-sea-games-20251106170326732.htm,1
124,Dân Trí,the-thao,"Đội tuyển Việt Nam: Xuân Son có tên, Hoàng Hên vắng mặt","Đợt tập trung này diễn ra trùng thời điểm với giai đoạn hội quân trọng điểm của đội tuyển chuẩn bị cho SEA Games 33, vì vậy một số nhân tố trẻ nổi bật từng góp mặt ở đội tuyển quốc gia trong các đợt tập trung trước không xuất hiện lần này. Dù vậy, HLV Kim Sang Sik vẫn giữ được sự ổn định về lực lượng, kết hợp hài hòa giữa các trụ cột giàu kinh nghiệm và những gương mặt đang đạt phong độ cao tại CLB. Đáng chú ý, chiến lược gia người Hàn Quốc gọi trở lại Nguyễn Xuân Son sau gần một năm chữa trị chấn thương. Xuân Son trở lại đội tuyển Việt Nam (",https://dantri.com.vn/the-thao/doi-tuyen-viet-nam-xuan-son-co-ten-hoang-hen-vang-mat-20251106173014079.htm,1
125,Dân Trí,the-thao,CLB Công an Hà Nội thua đội bóng Australia tại Cúp C2 châu Á,Trận đấu giữa CLB CAHN và Macarthur diễn ra chiều nay (6/11) tại Australia. Đây là trận đấu mà hàng thủ của CLB CAHN chơi thiếu chắn chắn. CLB CAHN không thể giành điểm trên sân của Macarthur (,https://dantri.com.vn/the-thao/clb-cong-an-ha-noi-thua-doi-bong-australia-tai-cup-c2-chau-a-20251106171651290.htm,1
126,Dân Trí,the-thao,"HLV Mourinho có nguy cơ bị sa thải sau hơn 1 tháng, bất ngờ với tiền đền bù","Đêm qua, Benfica đã thất bại với tỷ số 0-1 trước Leverkusen ngay trên sân nhà ở vòng bảng Champions League. Sau 4 lượt trận, CLB Bồ Đào Nha vẫn chưa có được điểm nào khi toàn thua. Họ đối diện với nguy cơ lớn bị loại khỏi Champions League. Benfica của HLV Mourinho thi đấu tệ hại ở Champions League (",https://dantri.com.vn/the-thao/hlv-mourinho-co-nguy-co-bi-sa-thai-sau-hon-1-thang-bat-ngo-voi-tien-den-bu-20251106201948164.htm,1
127,Dân Trí,the-thao,Báo Hàn Quốc: “Tuyển Việt Nam là nạn nhân của sự bất công”,"Tờ Chosun nhấn mạnh: “Tuyển Việt Nam của HLV Kim Sang Sik là nạn nhân của sự bất công khi Malaysia đã làm giả giấy tờ của 7 cầu thủ nhập tịch để giành chiến thắng. Đoàn quân của HLV Kim Sang Sik từng thất bại 0-4 trước Malaysia nhưng giờ đây, họ đang đứng trước cơ hội được xử thắng 3-0. Đây không chỉ là án kỷ luật đơn thuần mà FIFA muốn nhân cơ hội này để răn đe các liên đoàn khác khi sử dụng cầu thủ nhập tịch. Tờ Chosun cho rằng tuyển Việt Nam là nạn nhân của sự bất công (",https://dantri.com.vn/the-thao/bao-han-quoc-tuyen-viet-nam-la-nan-nhan-cua-su-bat-cong-20251106190828303.htm,1
128,Dân Trí,the-thao,Báo quốc tế tư vấn cách giảm thiểu lỗi tâm lý khi chơi pickleball,"Theo các chuyên gia, có nhiều nguyên nhân dẫn đến “lỗi tâm lý”. Tuy nhiên, thường thấy nhất là người chơi không đưa ra được mục tiêu cụ thể cho cú đánh của mình. Yếu tố tinh thần ảnh hưởng trực tiếp đến kết quả của một trận đấu pickleball (",https://dantri.com.vn/the-thao/bao-quoc-te-tu-van-cach-giam-thieu-loi-tam-ly-khi-choi-pickleball-20251106101215932.htm,1
129,Dân Trí,the-thao,Nhiều tay golf mạnh tham dự giải đấu dành cho nữ Toto Classic 2025,"Toto Classic là giải đấu thuộc hệ thống LPGA Tour (hệ thống các giải danh giá hàng đầu dành cho nữ, tương đương với tính chất các giải Master trong môn quần vợt). Chính vì thế, có khá nhiều golfer mạnh tham dự giải đấu này. Tay golf chủ nhà Nasa Hataoka là ứng cử viên vô địch của Toto Classic 2025 (",https://dantri.com.vn/the-thao/nhieu-tay-golf-manh-tham-du-giai-dau-danh-cho-nu-toto-classic-2025-20251106223815867.htm,1
130,Dân Trí,the-thao,Báo Malaysia: “FAM phải chấp nhận kịch bản xấu nhất”,"“Tất cả các bên cần chuẩn bị sẵn tinh thần đón nhận kịch bản xấu nhất với đội tuyển Malaysia sau vụ bê bối liên quan đến giả hồ sơ của 7 cầu thủ nhập tịch”, tờ Bharian mở đầu bài viết. Tờ Bharian cho rằng FAM cần phải chuẩn bị tinh thần đón nhận kịch bản xấu nhất (",https://dantri.com.vn/the-thao/bao-malaysia-fam-phai-chap-nhan-kich-ban-xau-nhat-20251107001600188.htm,1
131,Dân Trí,the-thao,“Bóng đá Malaysia không thể lừa dối FIFA và người hâm mộ”,"Trên tờ New Straits Times của Malaysia, nhà báo Ajitpal Singh: “Án phạt mà FIFA dành cho Malaysia chưa từng có tiền lệ. Ngày trước, để được khoác áo đội tuyển quốc gia, cầu thủ phải có huyết thống hoặc sinh ra ở quốc gia đấy”. “Giờ đây, người ta có thể khoác áo đội tuyển quốc gia bằng hồ sơ, bằng tờ giấy khai sinh mờ mờ ảo ảo của ông bà, và nhờ vào sự quan liêu của một bộ máy thiết kế nên những bộ hồ sơ này. Sau đó, những tấm hộ chiếu với quốc tịch mới xuất hiện nhanh đến chóng mặt. Các cuộc đấu bóng đá giờ đây trở thành cuộc đua của những tấm hộ chiếu mới. Trận thắng đội tuyển Việt Nam 4-0 của Malaysia hôm 10/6 hóa ra là khởi đầu cho hậu quả khôn lường mà bóng đá Malaysia phải gánh chịu (",https://dantri.com.vn/the-thao/bong-da-malaysia-khong-the-lua-doi-fifa-va-nguoi-ham-mo-20251107012302057.htm,1
132,Dân Trí,the-thao,Cristiano Ronaldo lên tiếng về lý do không dự lễ tang Diogo Jota,"Tiền đạo Diogo Jota của Liverpool và đội tuyển Bồ Đào Nha, cùng anh trai André Silva, đã qua đời thương tâm trong một vụ tai nạn xe hơi vào tháng 7. Nhiều đồng đội ở cấp CLB và đội tuyển quốc gia đã có mặt tại lễ tang ở Bồ Đào Nha, tuy nhiên vắng mặt, điều khiến dư luận đặc biệt chú ý. Cristiano Ronaldo ôm ông Joaquim Silva, cha của cố tiền đạo Diogo Jota, trong buổi tưởng nhớ Jota và cựu cầu thủ bóng đá Jorge Costa, do Liên đoàn Bóng đá Bồ Đào Nha tổ chức tại Cidade do Futebol, ở Oeiras, ngoại ô Lisbon vào ngày 2/9 (",https://dantri.com.vn/the-thao/cristiano-ronaldo-len-tieng-ve-ly-do-khong-du-le-tang-diogo-jota-20251107082423195.htm,1
133,Dân Trí,the-thao,"Djokovic giành chiến thắng trong nhà thứ 200, tiến vào bán kết Athens Open","Ở set đầu tiên, Djokovic bỏ lỡ ba cơ hội bẻ giao bóng nhưng vẫn thể hiện bản lĩnh đúng lúc. Tay vợt người Serbia thắng áp đảo 7-1 trong loạt tie-break, khuấy động bầu không khí trên sân khi ăn mừng cùng khán giả. Sang set hai, cựu số một tiếp tục duy trì phong độ ổn định và lạnh lùng kết liễu trận đấu sau chiến thắng 6-4, qua đó giành chiến thắng trong lần đầu tiên gặp Borges. Djokovic ăn mừng chiến thắng tại tứ kết Athens Open (",https://dantri.com.vn/the-thao/djokovic-gianh-chien-thang-trong-nha-thu-200-tien-vao-ban-ket-athens-open-20251107085320704.htm,1
134,Dân Trí,the-thao,"C.Ronaldo tuyên bố gây sốc, Messi đáp trả đanh thép","Trong thời gian qua, nhà báo Piers Morgan đã liên tục tiết lộ các đoạn trả lời phỏng vấn của C.Ronaldo. Trong đó, siêu sao người Bồ Đào Nha đưa ra rất nhiều tuyên bố gây sốc. C.Ronaldo tuyên bố chức vô địch World Cup không phải là thước đo của sự vĩ đại (",https://dantri.com.vn/the-thao/cronaldo-tuyen-bo-gay-soc-messi-dap-tra-danh-thep-20251107094915078.htm,1
135,Dân Trí,the-thao,Malaysia triệu tập hàng loạt cầu thủ nhập tịch sau phán quyết của FIFA,"Sáng nay (7/11), HLV Peter Cklamovski vừa công bố danh sách 27 cầu thủ tập trung chuẩn bị cho trận đấu gặp Nepal ở vòng loại Asian Cup 2027 diễn ra vào ngày 18/11. Malaysia vẫn triệu tập nhiều cầu thủ nhập tịch chuẩn bị cho trận đấu với Nepal (",https://dantri.com.vn/the-thao/malaysia-trieu-tap-hang-loat-cau-thu-nhap-tich-sau-phan-quyet-cua-fifa-20251107115312463.htm,1
136,Dân Trí,the-thao,Standard Chartered Marathon Di sản Hà Nội 2025: Bứt phá để vươn tầm quốc tế,"Với thông điệp “Bứt phá, vươn xa - Together, we run further” - vì môi trường không khói thuốc lá, mùa giải năm nay không chỉ là một cuộc đua mà còn là minh chứng rõ rệt cho tầm vóc quốc tế và sức hút mạnh mẽ của Marathon Việt Nam. Mùa giải 2025 chứng kiến sự tăng trưởng vượt bậc về số lượng vận động viên (VĐV) quốc tế, với 2.500 VĐV đến từ gần 70 quốc gia, tăng gần gấp đôi so với năm 2024. Con số ấn tượng này khẳng định Standard Chartered Marathon Di sản Hà Nội là giải chạy có số lượng VĐV quốc tế lớn nhất tại Việt Nam. này không chỉ thúc đẩy phong trào chạy bộ mà còn là cơ hội vàng để quảng bá hình ảnh Hà Nội nghìn năm văn hiến đến bạn bè khắp thế giới, đồng thời đóng góp trực tiếp hàng trăm tỷ đồng vào kinh tế du lịch địa phương. Phó Cục trưởng Cục TDTT Việt Nam Lê Thị Hoàng Yến dự sự kiện (",https://dantri.com.vn/the-thao/standard-chartered-marathon-di-san-ha-noi-2025-but-pha-de-vuon-tam-quoc-te-20251107152915195.htm,1
137,Dân Trí,the-thao,Bóng đá Malaysia khủng hoảng vì án phạt: Đồng tiền không cứu nổi sai lầm,"FIFA đã quyết định bác kháng cáo và giữ nguyên án phạt với FAM vào ngày 3/11. Điều đó có nghĩa rằng, họ tiếp tục khẳng định sai phạm của cơ quan quản lý Malaysia trong việc làm giả hồ sơ nhập tịch của các cầu thủ. Đồng tiền chỉ giúp bóng đá Malaysia kéo dài thời gian, chứ khó có thể giúp họ tạo nên điều thần kỳ (",https://dantri.com.vn/the-thao/bong-da-malaysia-khung-hoang-vi-an-phat-dong-tien-khong-cuu-noi-sai-lam-20251107152254517.htm,1
138,Dân Trí,the-thao,HLV Ruben Amorim phản ứng bất ngờ trước chỉ trích của C.Ronaldo,"Trong cuộc trả lời phỏng vấn với nhà báo Piers Morgan, C.Ronaldo cho rằng HLV Amorim sẽ cần đến “một phép màu” để thành công tại Man Utd. Siêu sao 40 tuổi khẳng định một số cầu thủ hiện tại của Quỷ đỏ không đủ đẳng cấp khoác áo CLB, đồng thời đặt nghi vấn về cơ cấu vận hành của đội bóng. HLV Amorim thừa nhận Man Utd gặp vấn đề nhưng đang dần cải thiện (",https://dantri.com.vn/the-thao/hlv-ruben-amorim-phan-ung-bat-ngo-truoc-chi-trich-cua-cronaldo-20251107155901996.htm,1
139,Dân Trí,the-thao,"Bóng đá Malaysia nhận thêm cú sốc, AFC vào cuộc điều tra","Tối qua (6/11), CLB Selangor đã hứng chịu thất bại với tỷ số 2-3 trước Persib Bandung (Indonesia) ở bảng G cúp C2 châu Á. Đây là trận thua đáng tiếc của CLB Malaysia khi họ dẫn trước đối thủ 2-0 sau 17 phút nhưng vẫn bị ngược dòng. CĐV Selangor lao xuống sân làm loạn (",https://dantri.com.vn/the-thao/bong-da-malaysia-nhan-them-cu-soc-afc-vao-cuoc-dieu-tra-20251107183153748.htm,1
140,Dân Trí,the-thao,Hiệp hội Thể thao Công an nhân dân vinh danh xạ thủ Trịnh Thu Vinh,"Hội nghị được tổ chức tại Trung tâm Đào tạo trẻ PVF - Bộ Công an (tỉnh Hưng Yên), nhằm đánh giá toàn diện kết quả hoạt động trong năm 2025, biểu dương các tập thể, cá nhân xuất sắc và triển khai một số nhiệm vụ trọng tâm năm 2026, với mục tiêu thúc đẩy sự phát triển của phong trào thể thao CAND nói riêng cũng như đóng góp thành tích cho thể thao Việt Nam nói chung. Trịnh Thu Vinh (thứ ba từ trái qua) và Ngần Ngọc Nghĩa (bìa phải) trong nhóm VĐV tiêu biểu được thể thao công an biểu dương - (",https://dantri.com.vn/the-thao/hiep-hoi-the-thao-cong-an-nhan-dan-vinh-danh-xa-thu-trinh-thu-vinh-20251107223614810.htm,1
141,Dân Trí,the-thao,FIFA ra lệnh trừng phạt đội tuyển Indonesia,"Theo thông báo từ Ủy ban kỷ luật FIFA công bố ngày 7/11, hai cầu thủ Thom Haye và Shayne Pattynama bị xác định có hành vi phi đối với cầu thủ đối phương và tổ trọng tài trong và sau trận đấu giữa Indonesia và Iraq tại vòng loại thứ 4 World Cup 2026. Các cầu thủ Indonesia bức xúc với trọng tài Ma Ning (Ảnh chụp màn hình). Tình huống xảy ra sau khi Indonesia thất bại 0-1 trước Iraq vào hôm 11/10. Sau tiếng còi mãn cuộc, một số cầu thủ Indonesia đã bày tỏ sự phản đối dữ dội với trọng tài người Trung Quốc, Ma Ning, dẫn đến việc Thom Haye, Shayne Pattynama và trưởng đoàn Sumardji đều phải nhận thẻ đỏ. FIFA đã quyết định treo giò hai cầu thủ Thom Haye và Shayne Pattynama trong 4 trận tiếp theo của đội tuyển Indonesia. Ngoài ra, hai cầu thủ này phải nộp phạt số tiền 5.000 Franc Thụy Sĩ (khoảng 163 triệu đồng). Nhiều khả năng đó sẽ là các trận diễn ra vào tháng 3 và tháng 6/2026. Tuy nhiên, họ hoàn toàn có thể tham dự giải AFF Cup 2026 vào tháng 7 (nếu được triệu tập). Ngoài lệnh cấm thi đấu, Liên đoàn Indonesia (PSSI) cũng phải nộp phạt tổng cộng 50.000 franc Thụy Sĩ (khoảng 1,6 tỷ đồng) cho FIFA vì để cổ động viên nhà ném chai lọ xuống sân. Indonesia cũng chịu án phạt của FIFA vì để CĐV ném chai lọ xuống sân (",https://dantri.com.vn/the-thao/fifa-ra-lenh-trung-phat-doi-tuyen-indonesia-20251107191844994.htm,1
142,Dân Trí,the-thao,Bóng đá Malaysia tranh cãi giữa khủng hoảng: Tiền đâu đóng phạt cho FIFA?,"Năm ngoái, Chính phủ Malaysia cung cấp gói 15 triệu ringgit (hơn 94,5 tỷ đồng) để phục vụ cho công tác chuyên môn của đội tuyển Malaysia. Câu hỏi được đặt ra với người hâm mộ Malaysia vào lúc này là FAM có được dùng nguồn tiền nói trên để đóng phạt cho Liên đoàn Bóng đá thế giới (FIFA) hay không, trong trường hợp FAM thua kiện tại CAS? Bộ trưởng Bộ Thanh niên và Thể thao Malaysia Hannah Yeoh tuyên bố khoản tiền mà Chính phủ Malaysia từng cung cấp cho FAM không được dùng để đóng phạt (",https://dantri.com.vn/the-thao/bong-da-malaysia-tranh-cai-giua-khung-hoang-tien-dau-dong-phat-cho-fifa-20251107184512550.htm,1
143,Dân Trí,the-thao,Báo Malaysia kêu gọi công lý cho 7 cầu thủ nhập tịch trái phép,"Theo phán quyết của FIFA, FAM bị phạt 350.000 franc Thụy Sĩ (tương đương 11,5 tỷ đồng) trong vụ làm giả hồ sơ nhập tịch của 7 cầu thủ là Gabriel Palmero, Facundo Garces, Rodrigo Holgado, Imanol Machuca, Joao Figueiredo, Hector Hevel và Jon Irazabal. Trong khi đó, mỗi cầu thủ phải nộp phạt 2.000 franc Thụy Sĩ (khoảng 66 triệu đồng) và chịu án treo giò 12 tháng khỏi mọi hoạt động liên quan đến bóng đá. Tờ Sinar Harian cho rằng án phạt với 7 cầu thủ nhập tịch trái phép quá nặng bởi họ cũng chỉ là “nạn nhân” trong vụ gian lận của FAM. Tờ Sinar Harian cho rằng án phạt với 7 cầu thủ nhập tịch trái phép quá nặng (",https://dantri.com.vn/the-thao/bao-malaysia-keu-goi-cong-ly-cho-7-cau-thu-nhap-tich-trai-phep-20251108002705098.htm,1
144,Dân Trí,the-thao,Djokovic gặp Musetti ở chung kết Athens Open 2025,"Novak Djokovic đang thể hiện quyết tâm vô địch Athens Open 2025 và ở trận bán kết tối qua, ngôi sao người Serbia nhập cuộc hứng khởi. Yannick Hanfmann chỉ có thể cầm cự đến game 6 và Nole đoạt break-point trước khi tiến đến chiến thắng 6-3. Djokovic tiến gần đến chức vô địch Athens Open 2025 (",https://dantri.com.vn/the-thao/djokovic-gap-musetti-o-chung-ket-athens-open-2025-20251108064807608.htm,1
145,Dân Trí,the-thao,"FIFA, FAM và CAS: Bóng đá Malaysia đứng trước ngã ba đường","Liên quan đến vụ việc 7 cầu thủ nhập tịch không hợp lệ khiến Liên đoàn Malaysia (FAM) bị Liên đoàn Bóng đá Thế giới (FIFA) xử phạt, Tiến sĩ Mohd Firdaus Abdullah, Phó trưởng Khoa Khoa học Thể thao và Vận động, Đại học Malaya đã chia sẻ quan điểm trên tờ Stadium Astro. Bài viết phân tích việc FAM nên chấp nhận án phạt của FIFA hay kháng cáo lên Tòa án Trọng tài (CAS); nếu kháng cáo, cần kháng cáo những gì, đồng thời đề xuất các hướng cải tổ để FAM tránh lặp lại sai phạm tương tự trong tương lai. Đội tuyển Malaysia dùng cầu thủ nhập tịch sai quy định ở trận gặp tuyển Việt Nam tại vòng loại Asian Cup 2027 (",https://dantri.com.vn/the-thao/fifa-fam-va-cas-bong-da-malaysia-dung-truoc-nga-ba-duong-20251108023326795.htm,1
146,Dân Trí,the-thao,"Nhận định Tottenham - Man Utd (19h30, 8/11): Phép thử cho sự ổn định","Sau thất bại cay đắng 0-1 trước Chelsea tại cuối tuần trước, khiến họ bị chính người hâm mộ la ó, Tottenham đã có màn trình diễn ấn tượng vào đêm thứ ba, đánh bại Copenhagen 4-0 ngay trên sân nhà trong khuôn khổ Champions League. Khi Tottenham dẫn trước 2-0 và chỉ còn 10 người trên sân sau thẻ đỏ của Johnson trong hiệp hai, trung vệ Micky van de Ven đã có một pha solo ngoạn mục, chạy hết chiều dài sân để ghi bàn thắng thứ ba, một ứng cử viên sáng giá cho danh hiệu bàn thắng đẹp nhất mùa giải. Huấn luyện viên Thomas Frank đã ví pha lập công này như ""Lionel đã biến thành Micky van de Ven"". Chỉ ba phút sau, Joao Palhinha ấn định chiến thắng 4-0, mang về chiến thắng thứ hai cho Tottenham sau bốn trận đấu ở Giai đoạn Liên đoàn. Tottenham đang thể hiện phong độ cao ở Champions League (",https://dantri.com.vn/the-thao/nhan-dinh-tottenham-man-utd-19h30-811-phep-thu-cho-su-on-dinh-20251108091500154.htm,1
147,Dân Trí,the-thao,"U17 Indonesia thua đậm Brazil, Triều Tiên tạo địa chấn ở World Cup","Sau trận ra quân thất bại 1-3 trước U17 Zambia, U17 Indonesia phải đối diện với thử thách cực đại là U17 Brazil. Đội bóng Đông Nam Á không thể tạo nên bất ngờ trước đối thủ quá mạnh. Sau 90 phút, họ đã hứng chịu thất bại với tỷ số 0-4. U17 Indonesia thua đậm U17 Brazil (",https://dantri.com.vn/the-thao/u17-indonesia-thua-dam-brazil-trieu-tien-tao-dia-chan-o-world-cup-20251108094003214.htm,1
148,Dân Trí,the-thao,“Bóng đá Malaysia hãy dừng kiện tụng và tập trung trả nợ cho cầu thủ”,"Ngoài cương vị cựu TTK AFF, ông Datuk Seri Azzuddin Ahmad còn là cựu TTK Liên đoàn Malaysia (FAM). Vị cựu quan chức của bóng đá Malaysia và bóng đá Đông Nam Á theo dõi sát diễn biến của vụ việc 7 cầu thủ nhập tịch Malaysia gồm Facundo Garces, Rodrigo Holgado, Imanol Machuca, Gabriel Palmero, Jon Irazabal, Hector Hevel và Joao Figueiredo bị FIFA treo giò. FAM bị FIFA phạt số tiền lên đến 350.000 franc Thụy Sĩ (khoảng 11,6 tỷ đồng). Cựu TTK AFF Seri Azzuddin Ahmad (",https://dantri.com.vn/the-thao/bong-da-malaysia-hay-dung-kien-tung-va-tap-trung-tra-no-cho-cau-thu-20251108004739349.htm,1
149,Dân Trí,the-thao,Hé lộ chi phí tốn kém nếu bóng đá Malaysia kiện FIFA lên CAS,"Ngày 3/11, FIFA chính thức bác bỏ kháng cáo của FAM và 7 cầu thủ nhập tịch Malaysia, gồm Facundo Garces, Rodrigo Holgado, Imanol Machuca, Gabriel Palmero, Jon Irazabal, Hector Hevel và Joao Figueiredo. Bóng đá Malaysia sẽ phải chi hơn 6,3 tỷ đồng cho vụ kiện tại CAS (",https://dantri.com.vn/the-thao/he-lo-chi-phi-ton-kem-neu-bong-da-malaysia-kien-fifa-len-cas-20251107232945369.htm,1
150,Dân Trí,the-thao,"Báo Malaysia vạch chiến lược giúp FAM ""tìm đường thắng"" tại CAS",Liên đoàn Malaysia (FAM) đang đứng trước một quyết định đầy tranh cãi: liệu có nên tiếp tục kháng cáo lên Tòa án Trọng tài Thể thao (CAS) sau khi bị FIFA kết tội làm giả giấy tờ tùy thân cho bảy cầu thủ. FAM khẳng định sẽ kháng cáo lên CAS nhằm giảm hình phạt cho 7 cầu thủ nhập tịch sai quy định (,https://dantri.com.vn/the-thao/bao-malaysia-vach-chien-luoc-giup-fam-tim-duong-thang-tai-cas-20251108032224192.htm,1
151,Dân Trí,the-thao,Tuyển Malaysia có nguy cơ “biến mất” trong nhiều năm,"Sau khi bị FIFA bác đơn kháng cáo ở vụ làm giả hồ sơ của 7 cầu thủ nhập tịch, Liên đoàn Malaysia (FAM) đã tuyên bố sẽ kiện Tòa án trọng tài thể thao (CAS). Tuy nhiên, theo giới chuyên môn, cơ hội để Malaysia lật ngược thế cờ là rất thấp. Thậm chí, Malaysia đang có nguy cơ lớn bị Liên đoàn bóng đá châu Á (AFC) xử thua 0-3 trong hai trận gặp đội tuyển Việt Nam và Nepal. Nếu điều này xảy ra, “Bầy hổ” không còn cơ hội thi đấu ở Asian Cup 2027. Tuyển Malaysia có nguy cơ không được thi đấu ở các giải chính thức trong nhiều năm (",https://dantri.com.vn/the-thao/tuyen-malaysia-co-nguy-co-bien-mat-trong-nhieu-nam-20251108124217822.htm,1
152,Dân Trí,the-thao,HLV Amorim tự tin giúp Man Utd giành chiến thắng trước Tottenham,"""Chúng tôi tự tin hơn. Chúng tôi đã vào đến trận chung kết với niềm tin chiến thắng vì đã thi đấu tốt ở Europa League. Hiện tại, chúng tôi chơi với một sự tự tin khác"", HLV Ruben Amorim nhắc lại trận chung kết Europa League giữa Man Utd và Tottenham mùa giải năm ngoái, trận đấu mà ""Quỷ đỏ"" nhận thất bại sít sao 0-1. Man Utd vừa trải qua chuỗi 4 trận bất bại liên tiếp, trong đó có tới 3 trận thắng, nên đoàn quân của HLV Ruben Amorim kỳ vọng sẽ giành kết quả tốt trong chuyến làm khách trên sân Tottenham Hotspur. HLV Amorim tự tin Man Utd sẽ giành chiến thắng trước Tottenham (",https://dantri.com.vn/the-thao/hlv-amorim-tu-tin-giup-man-utd-gianh-chien-thang-truoc-tottenham-20251108120833389.htm,1
153,Dân Trí,the-thao,Tay vợt Thùy Linh vào chung kết lần thứ tư trong năm 2025,"Trước trận đấu ngày 8/11, giới chuyên môn đánh giá đối thủ của Thùy Linh khá cao. Akechi đang đứng thứ 57 và từng nhiều lần vào chung kết các giải trong hệ thống World Tour. Tuy nhiên, Thùy Linh đã không cho phép đối thủ người Nhật Bản có cơ hội tạo bất ngờ. Duy trì phong độ đỉnh cao suốt từ đầu giải, tay vợt số 1 Việt Nam, Nguyễn Thùy Linh nhập cuộc tự tin, trình diễn lối đánh biến hóa đầy khó lường và nhanh chóng phá sức đối thủ bằng chiến thuật thông minh. Tay vợt Nguyễn Thùy Linh ở giải Korea Masters 2025 (",https://dantri.com.vn/the-thao/tay-vot-thuy-linh-vao-chung-ket-lan-thu-tu-trong-nam-2025-20251108161311846.htm,1
